dappNAme,category,users,Platform,Devact,Volume7d,github,status,Date,license
aelf,Development,76,Ethereum,1375,0,https://github.com/aelfProject?utm_source=StateOfTheDApps,WIP,"Feb 7th, 2018",Unknown license
CanWork,Marketplaces,8,Ethereum,39,0,https://github.com/canyacoin/canwork-web-ui?utm_source=StateOfTheDApps,Live,"Aug 3rd, 2018",MIT
CryptoMiner World,Games,33,Ethereum,11,1016,https://github.com/CryptoMinerWorld/crypto-miner?utm_source=StateOfTheDApps,Live,"Jul 7th, 2018",Proprietary
AirSwap,Exchanges,30,Ethereum,514,1300049,https://github.com/airswap?utm_source=StateOfTheDApps,Live,"Jun 26th, 2017",Unknown license
APPICS,Social,149,Steem,0,0,null,Beta,"Dec 16th, 2018",Unknown license
3Speak,Media,30,Steem,0,0,null,Live,"May 2nd, 2019",Proprietary
EOS Dynasty,Games,1647,EOS,0,8688,null,Live,"May 23rd, 2019",Unknown license
SteemPress,Media,145,Steem,10,0,https://github.com/drov0/steempress?utm_source=StateOfTheDApps,Live,"Dec 16th, 2018",Unknown license
MinnowBooster,Media,71,Steem,0,3094,null,Live,"Dec 20th, 2018",Proprietary
MegaCryptoPolis,Games,21,Ethereum,0,908,null,Live,"Jul 13th, 2018",Unknown license
Genesis Vision,Finance,16,Ethereum,527,0,https://github.com/GenesisVision?utm_source=StateOfTheDApps,Live,"Nov 16th, 2018",MIT
Crypto Sword and Magic,Games,592,EOS,0,7660,null,Live,"Apr 29th, 2019",NOD Games
CryptoKitties,Marketplaces,128,Ethereum,0,13868,null,Live,"Oct 28th, 2017",Private
Crypt-Oink,Games,102,Ethereum,0,4546,null,Live,"Jul 10th, 2018",MIT
Enigma,Development,23,Ethereum,0,0,https://github.com/enigmampc/enigma-docker-network?utm_source=StateOfTheDApps,Live,"Jul 12th, 2018",MIT
Etheremon,Games,61,Ethereum,2,227,https://github.com/etheremon/smartcontract?utm_source=StateOfTheDApps,Live,"Dec 20th, 2017",MIT
Murmur,Social,159,EOS,0,0,https://github.com/Murmurdapp?utm_source=StateOfTheDApps,Beta,"Oct 29th, 2018",MIT
Monolith,Finance,5,Ethereum,87,0,https://github.com/tokencard?utm_source=StateOfTheDApps,Live,"Oct 6th, 2016",GPL-3.0
ForkDelta,Exchanges,523,Ethereum,378,640035,https://github.com/forkdelta?utm_source=StateOfTheDApps,Live,"Jun 14th, 2018",Unknown license
Paxos Standard,Finance,932,Ethereum,0,0,null,Live,"Dec 17th, 2018",Unknown license
Kleros,Governance,4,Ethereum,208,0,https://github.com/kleros?utm_source=StateOfTheDApps,Live,"Dec 6th, 2017",MIT
The Token Store,Exchanges,110,Ethereum,0,52629,https://github.com/tokenstore?utm_source=StateOfTheDApps,Live,"Jun 14th, 2018",Unknown license
LoreFree,Social,221,EOS,0,0,https://github.com/langyalore?utm_source=StateOfTheDApps,Live,"Jun 22nd, 2019",Unknown license
PRA Candy Box,Media,2005,EOS,0,0,null,Live,"Sep 19th, 2018",Unknown license
DAO Playmarket,Marketplaces,0,Ethereum,0,0,https://github.com/CryptonStudio?utm_source=StateOfTheDApps,Live,"Feb 20th, 2019",open
Bounties Network,Marketplaces,20,Ethereum,183,285,https://github.com/Bounties-Network?utm_source=StateOfTheDApps,Live,"Dec 17th, 2017",MIT
SpankChain,Social,9,Ethereum,19,481,https://github.com/spankchain?utm_source=StateOfTheDApps,Beta,"Jun 23rd, 2017",AGPL
ETHLend,Finance,11,Ethereum,3,96407,https://github.com/ETHLend?utm_source=StateOfTheDApps,Live,"May 24th, 2017",proprietary
HyperDragons,Games,186,Ethereum,0,21568,null,Live,"Jul 13th, 2018",Unknown license
Chibi Fighters,Games,34,Ethereum,0,118,null,Live,"Apr 1st, 2018",Private
dPoll,Media,87,Steem,3,0,https://github.com/emre/dpoll.xyz?utm_source=StateOfTheDApps,Beta,"Dec 18th, 2018",MIT
OasisDex,Exchanges,64,Ethereum,3,0,https://github.com/makerdao/maker-market?utm_source=StateOfTheDApps,Live,"Feb 8th, 2017",Apache-2
LORDLESS,Games,5,Ethereum,1,54,https://github.com/lordlessio?utm_source=StateOfTheDApps,Live,"Nov 19th, 2018",Apache-2.0
CoinX,Exchanges,44,Ethereum,0,25127,null,Live,"Jul 29th, 2019",Unknown license
Steemcoinpan,Social,55,Steem,0,0,https://github.com/steem-engine-exchange/nitrous/tree/scotty_steemcoinpan?utm_source=StateOfTheDApps,Live,"Jun 7th, 2019",MIT
Everipedia,Storage,66,EOS,205,0,https://github.com/EveripediaNetwork?utm_source=StateOfTheDApps,Live,"Sep 19th, 2018",GPL-3.0
Simple Token,Finance,9,Ethereum,276,0,https://github.com/OpenST?utm_source=StateOfTheDApps,Prototype,"Nov 26th, 2017","Apache License 2.0, GNU LGPLv3"
Enjin Coin,Games,189,Ethereum,168,20,https://github.com/enjin?utm_source=StateOfTheDApps,WIP,"Jul 15th, 2017",Proprietary
Alchemy,Governance,8,Ethereum,915,0,https://github.com/daostack/alchemy?utm_source=StateOfTheDApps,Live,"Apr 19th, 2018",GPL3
Meme Factory,Marketplaces,6,Ethereum,285,0,https://github.com/district0x?utm_source=StateOfTheDApps,Live,"Aug 28th, 2017",EPL-1.0
Fomo Token,Games,321,EOS,0,0,null,Live,"Jul 4th, 2019",MIT
Quantstamp Security Network,Security,28,Ethereum,179,0,https://github.com/quantstamp?utm_source=StateOfTheDApps,Live,"Apr 3rd, 2019",MIT
AdEx,Media,18,Ethereum,549,0,https://github.com/AdExNetwork?utm_source=StateOfTheDApps,Live,"Apr 23rd, 2018",MIT
FOAM,Property,10,Ethereum,464,0,https://github.com/f-o-a-m?utm_source=StateOfTheDApps,Live,"Jun 19th, 2017",open source
Token Multisender,Finance,8,Ethereum,25,350,https://github.com/rstormsf/multisender?utm_source=StateOfTheDApps,Live,"Feb 27th, 2018",GPL3
TruSet Real Estate Data,Property,5,xDai,4,0,https://github.com/TruSet?utm_source=StateOfTheDApps,Live,"Jun 11th, 2019",Proprietary
eosDAC,Governance,132,EOS,183,1448315,https://github.com/eosdac?utm_source=StateOfTheDApps,Live,"Jan 8th, 2019",MIT
$martFund,Finance,29,Ethereum,0,65030,null,Live,"Jul 29th, 2019",Unknown license
Ethereum Name Service,Property,7,Ethereum,492,164,https://github.com/ensdomains?utm_source=StateOfTheDApps,Live,"Aug 29th, 2017",BSD-2
1inch.exchange,Exchanges,21,Ethereum,0,163837,null,Live,"Jun 6th, 2019",MIT
Kickback,Media,31,Ethereum,344,1998,https://github.com/wearekickback?utm_source=StateOfTheDApps,Live,"Dec 5th, 2018",MIT
Raiden Network,Exchanges,14,Ethereum,1978,0,https://github.com/raiden-network?utm_source=StateOfTheDApps,Beta,"Aug 4th, 2016",MIT
SelfKey,Identity,12,Ethereum,562,0,https://github.com/selfkeyfoundation?utm_source=StateOfTheDApps,Beta,"Nov 6th, 2017",Unknown license
SpiderDEX,Marketplaces,27,Ethereum,0,5213,null,Live,"May 6th, 2019",Unknown license
Switcheo,Exchanges,28,Ethereum,0,136311,https://github.com/ConjurTech/switcheo?utm_source=StateOfTheDApps,Live,"Nov 20th, 2018",MIT
Chain Clash,Games,9,EOS,0,0,null,Beta,"May 28th, 2019",proprietary
ERC20Faucet,Development,5,Ethereum,15,0,https://github.com/peppersec/erc20faucet?utm_source=StateOfTheDApps,Live,"May 8th, 2019",MIT
CryptantCrab,Games,19,Ethereum,0,1272,null,Live,"Nov 22nd, 2018",No License
