Name,category,Balance,User,Volume24,Volume7d,Txn24,Txn7d,platform,github,smartContract
Quantstamp Security Network,other,0,19,0,0,49,340,  ETH,null,2
Mango ,gambling,283.49,18,669,5400,4700,33100,  EOS,null,7
EosCrash,gambling,4500,17,306,3200,7600,56200,  EOS,null,3
WIZZ NETWORK IO,other,2900,17,0,0,215,2300,  EOS,null,1
Sorare,games,0,17,3400,10400,566,3700,  LOOM,null,0
BlockArcade,games,52700,17,334,1100,2300,9800,  IOST,null,2
CryptoMon,games,0,17,0,0,36,263,  ETH,null,0
Transport Empire,high-risk,0.028205,16,0,23,31,230,  TRON,null,0
Caesar's Triumph,games,0.95,15,0,68,120,686,  ETH,null,9
TREASURE,high-risk,405.25,15,740,2300,17,89,  ETH,null,0
Etheroll,gambling,4900,15,40900,471900,876,8600,  ETH,null,8
MetPackToken (MPT),other,8600,15,0,0,19,184,  EOS,null,0
LuckyClover Slots,gambling,1900,15,1600,40500,385,2900,  EOS,null,3
Decentraland Marketplace,marketplaces,0,15,0,0,35,534,  ETH,null,13
TronGo,gambling,50200,15,466,5800,343,2900,  TRON,null,16
FAST,gambling,10200,14,0,0,250,1800,  EOS,null,14
Play0x,gambling,11.16,14,66,734,59,537,  ETH,null,7
YOLO,exchanges,0,13,2700,36800,242,2500,  EOS,null,1
AirSwap,exchanges,0,13,5900,1100000,19,285,  ETH,['https://github.com/airswap'],1
Token Multisender,other,43.24,13,392,1200,42,156,  ETH,null,2
CryptoAssault,games,2.68,13,330,649,107,202,  ETH,null,3
1inch.exchange,exchanges,18.59,13,11500,269900,106,676,  ETH,null,11
Akdex,exchanges,2800,13,17500,62000,46,297,  EOS,null,1
Tronjedies.space,high-risk,1.06,12,0,1,42,160,  TRON,null,1
World War Goo,games,402.11,12,0,88,22,317,  ETH,null,8
Spectre.ai,other,0,12,0,0,15,104,  ETH,null,0
Bounties Network,other,300.92,12,0,595,17,97,  ETH,null,1
IoTeX Voting Portal,other,0,12,0,0,33,249,  ETH,null,1
ENS Manager,other,1.36,12,0,0,29,362,  ETH,null,3
DG Bet,gambling,498.53,12,23,3900,3000,20900,  EOS,null,4
Unicorn,gambling,239.09,12,13000,115300,5300,42800,  EOS,null,0
Switcheo Network,exchanges,16200,12,1400,10700,1000,6300,  EOS,null,1
EOSJacks,gambling,9100,12,185,28000,4400,34500,  EOS,null,0
EOSJOB,gambling,430.32,12,4500,40300,477,53900,  EOS,null,1
PoWH 3D,high-risk,13900,12,2,1400,20,147,  ETH,null,1
Virus Battle - éÊëÎ____ì_Ö,games,36,11,0,0,11,198,  IOST,null,1
Axie Infinity,games,0,11,661,14100,40,578,  LOOM,null,7
BingoBet,gambling,650.91,11,6,258,32300,205900,  EOS,null,0
Ace Game,gambling,588.75,11,96,1500,404,5900,  EOS,null,0
Joule,other,0,11,0,0,442,2400,  EOS,null,1
BC.Game,gambling,1600,11,1000,12900,22,87,  EOS,null,1
Pickarat,gambling,21800,11,7000,25900,11000,48400,  TRON,null,2
