,Name,Link,Github,Owner,Category,Blockchain
79,Pacoca,https://dapp.com/app/pacoca,https://github.com/Pacoca-io,Pacoca-io,Finance,BNB Chain
80,Dex Finance,https://dapp.com/app/dex-finance,https://github.com/dexira,dexira,Finance,BNB Chain
81,BloctoSwap,https://dapp.com/app/bloctoswap,https://github.com/portto/bloctoswap-contracts,portto,Exchange,Ethereum
82,BambooDeFi BCS,https://dapp.com/app/bamboodefi-bcs,https://github.com/bamboo-defi,bamboo-defi,Finance,BNB Chain
83,SportX,https://dapp.com/app/sportx-2,https://github.com/sportx-bet/smart-contracts,sportx-bet,Gambling,Polygon (Matic)
84,WePiggy BSC,https://dapp.com/app/wepiggy-bsc,https://github.com/WePiggy,WePiggy,Finance,BNB Chain
85,Spin,https://dapp.com/app/spin,https://github.com/spin-fi/,spin-fi,Finance,Near Protocol
86,Fuse Staking,https://dapp.com/app/fuse-staking,https://github.com/fuseio,fuseio,Finance,Fuse
87,Counterstake,https://dapp.com/app/counterstake,https://github.com/byteball/counterstake-bridge,byteball,Finance,Ethereum
88,Winery,https://dapp.com/app/winery,https://github.com/winery-land,winery-land,Exchange,BNB Chain
89,NFTKEY BSC,https://dapp.com/app/nftkey-bsc,https://github.com/nftkey,nftkey,Marketplace,BNB Chain
90,Leonicorn Swap,https://dapp.com/app/leonicorn-swap,https://github.com/Leonicornswap,Leonicornswap,Exchange,BNB Chain
91,X World Games,https://dapp.com/app/x-world-games,https://github.com/XWorldGames,XWorldGames,Game,BNB Chain
92,LINKSWAP,https://dapp.com/app/linkswap,https://github.com/yflink/,yflink,Exchange,Ethereum
93,OWL GAMES BSC,https://dapp.com/app/owl-games-bsc,https://github.com/theowlgame,theowlgame,Gambling,BNB Chain
94,Nexus Mutual,https://dapp.com/app/nexus-mutual,https://github.com/NexusMutual,NexusMutual,Finance,Ethereum
95,Tap Fantasy,https://dapp.com/app/tap-fantasy,https://github.com/tapfantasy/,tapfantasy,Game,BNB Chain
96,Delphi,https://dapp.com/app/delphi,https://github.com/akropolisio/delphi/,akropolisio,Finance,Ethereum
97,Gravis Finance BSC,https://dapp.com/app/gravis-finance-bsc,https://github.com/gravis-finance,gravis-finance,Finance,BNB Chain
98,CafeSwap Finance,https://dapp.com/app/cafeswap-finance,https://github.com/CafeSwap,CafeSwap,Exchange,BNB Chain
99,CEXISWAP TT,https://dapp.com/app/cexiswap-tt,https://github.com/cexiswap,cexiswap,Exchange,ThunderCore
100,Synthetix Exchange,https://dapp.com/app/synthetix,https://github.com/synthetixio,synthetixio,Exchange,Ethereum
101,tofuNFT Polygon,https://dapp.com/app/tofunft-polygon,https://github.com/scv-finance,scv-finance,Marketplace,Polygon (Matic)
102,Libero Financial,https://dapp.com/app/libero-financial,https://github.com/liberofinancial/LiberoFinancial,liberofinancial,High-risk,BNB Chain
103,Ambire,https://dapp.com/app/adex-network,https://github.com/AmbireTech/,AmbireTech,Utilities,Ethereum
104,WePiggy,https://dapp.com/app/wepiggy,https://github.com/WePiggy,WePiggy,Finance,Ethereum
105,Swaap Protocol,https://dapp.com/app/swaap-protocol,https://github.com/swaap-labs,swaap-labs,Exchange,Polygon (Matic)
106,WardenSwap,https://dapp.com/app/warden-swap,https://github.com/WardenSwap,WardenSwap,Exchange,BNB Chain
107,Dopple Finance,https://dapp.com/app/dopple-finance,https://github.com/DoppleFinance/dopple-contract,DoppleFinance,Exchange,BNB Chain
108,Kalmar,https://dapp.com/app/kalmar,https://github.com/kalmar-io,kalmar-io,Finance,BNB Chain
109,Nested,https://dapp.com/app/nested,https://github.com/NestedFinance/nested-core-lego,NestedFinance,Finance,Ethereum
110,SakeSwap,https://dapp.com/app/sakeswap,https://github.com/Sakeswap/sakeswap-protocol,Sakeswap,Exchange,Ethereum
111,TendieSwap,https://dapp.com/app/tendieswap,https://github.com/tendieswap,tendieswap,Finance,BNB Chain
112,AutoShark,https://dapp.com/app/autoshark,https://github.com/autoshark-finance/,autoshark-finance,Finance,BNB Chain
113,BTCST,https://dapp.com/app/btcst,https://github.com/Standard-Hashrate-Group,Standard-Hashrate-Group,Finance,BNB Chain
114,Gravity Finance,https://dapp.com/app/gravity-finance,https://github.com/inthenextversion,inthenextversion,Finance,Polygon (Matic)
