,Name,Link,Github,Owner,Category,Blockchain
108,Kalmar,https://dappradar.com/binance-smart-chain/defi/kalmar,https://github.com/kalmar-io,kalmar-io,defi,binance-smart-chain
109,Jetswap,https://dappradar.com/multichain/exchanges/jetswap,https://github.com/jetfuelfinance,jetfuelfinance,exchanges,multichain
110,Tetu,https://dappradar.com/polygon/defi/tetu,https://github.com/tetu-io,tetu-io,defi,polygon
111,Ram Protocol,https://dappradar.com/thundercore/defi/ram-protocol,https://github.com/ram-protocol,ram-protocol,defi,thundercore
112,Flexa,https://dappradar.com/ethereum/defi/flexa,https://github.com/amptoken,amptoken,defi,ethereum
113,PlotX,https://dappradar.com/polygon/gambling/plotx,https://github.com/plotx/smart-contracts,plotx,gambling,polygon
114,Candle Genie,https://dappradar.com/multichain/gambling/candle-genie,https://github.com/candlegenie,candlegenie,gambling,multichain
115,Avault,https://dappradar.com/astar/defi/avault,https://github.com/AVaultFinance,AVaultFinance,defi,astar
116,Planet,https://dappradar.com/binance-smart-chain/defi/planet,https://github.com/planetfinance,planetfinance,defi,binance-smart-chain
117,ARIES FINANCIAL V2,https://dappradar.com/binance-smart-chain/defi/aries-financial-v2,https://github.com/ariesfinancial/Aries-Financial,ariesfinancial,defi,binance-smart-chain
118,Paçoca,https://dappradar.com/binance-smart-chain/defi/paçoca,https://github.com/Pacoca-io,Pacoca-io,defi,binance-smart-chain
119,Hector Finance,https://dappradar.com/fantom/defi/hector-finance,https://github.com/Hector-DAO,Hector-DAO,defi,fantom
120,LZ Swap,https://dappradar.com/binance-smart-chain/exchanges/lz-swap,https://github.com/launchzone,launchzone,exchanges,binance-smart-chain
121,Magician,https://dappradar.com/polygon/exchanges/magician,https://github.com/MagicBallSwap/core,MagicBallSwap,exchanges,polygon
122,Bake Pizza Miner,https://dappradar.com/binance-smart-chain/high-risk/bake-pizza-miner,https://github.com/BakePizzaIO/contracts,BakePizzaIO,high-risk,binance-smart-chain
123,FATExDAO,https://dappradar.com/harmony/defi/fatexdao,https://github.com/orgs/FATEx-DAO/repositories,orgs,defi,harmony
124,Polycat Finance,https://dappradar.com/polygon/defi/polycat-finance,https://github.com/polycatfi,polycatfi,defi,polygon
125,QuipuSwap,https://dappradar.com/tezos/exchanges/quipuswap,https://github.com/madfish-solutions/quipuswap-core,madfish-solutions,exchanges,tezos
126,UMA,https://dappradar.com/multichain/defi/uma,https://github.com/umaprotocol,umaprotocol,defi,multichain
127,BakerySwap,https://dappradar.com/binance-smart-chain/defi/bakeryswap,https://github.com/BakeryProject,BakeryProject,defi,binance-smart-chain
128,Alpha Homora,https://dappradar.com/multichain/defi/alpha-homora,https://github.com/AlphaFinanceLab/alphahomora,AlphaFinanceLab,defi,multichain
129,Cryptocookies,https://dappradar.com/polygon/games/cryptocookies,https://github.com/cryptocookiesdao,cryptocookiesdao,games,polygon
130,VoltSwap,https://dappradar.com/theta/defi/voltswap,https://github.com/meterio/voltswap/tree/voltswap,meterio,defi,theta
131,Vortex,https://dappradar.com/tezos/defi/vortex,https://github.com/Smartlinkhub/Smartlink-Escrow,Smartlinkhub,defi,tezos
132,Annex Finance,https://dappradar.com/multichain/defi/annex-finance,https://github.com/annexfinance/annex-protocol,annexfinance,defi,multichain
133,TEN Finance,https://dappradar.com/binance-smart-chain/defi/ten-finance,https://github.com/tenfinance,tenfinance,defi,binance-smart-chain
134,Astar Exchange,https://dappradar.com/astar/exchanges/astar-exchange,https://github.com/astarexchange,astarexchange,exchanges,astar
135,World Bet Club,https://dappradar.com/binance-smart-chain/gambling/world-bet-club,https://github.com/worldbetdev/contract,worldbetdev,gambling,binance-smart-chain
136,FarmersOnlyFi,https://dappradar.com/harmony/defi/farmersonlyfi,https://github.com/FarmersOnlyFi,FarmersOnlyFi,defi,harmony
137,Euler Finance,https://dappradar.com/ethereum/defi/euler-finance,https://github.com/orgs/euler-xyz,orgs,defi,ethereum
138,Destiny World,https://dappradar.com/telos/other/destiny-world,https://github.com/destinydevteam,destinydevteam,other,telos
139,Dinosaur Eggs,https://dappradar.com/binance-smart-chain/marketplaces/dinosaur-eggs,https://github.com/dinosaur-eggs/core,dinosaur-eggs,marketplaces,binance-smart-chain
140,PolyCub,https://dappradar.com/polygon/defi/polycub,https://github.com/CubFinance,CubFinance,defi,polygon
141,Thetanuts,https://dappradar.com/multichain/defi/thetanuts,https://github.com/Theta-Nuts,Theta-Nuts,defi,multichain
142,BecoSwap,https://dappradar.com/kardiachain/defi/becoswap,https://github.com/becoswap,becoswap,defi,kardiachain
143,Alchemix,https://dappradar.com/ethereum/defi/alchemix,https://github.com/alchemix-finance,alchemix-finance,defi,ethereum
144,Huckleberry,https://dappradar.com/moonriver/defi/huckleberry,https://github.com/HuckleberryDEX,HuckleberryDEX,defi,moonriver
145,MiningTycoon V2,https://dappradar.com/multichain/games/miningtycoon-v2,https://github.com/nextypefinance/miningtycoon,nextypefinance,games,multichain
146,PolkaBridge,https://dappradar.com/ethereum/defi/polkabridge,https://github.com/cyclese96,cyclese96,defi,ethereum
147,Algem,https://dappradar.com/astar/defi/algem,https://github.com/AlgemDeFi,AlgemDeFi,defi,astar
148,DarkCrypto Finance,https://dappradar.com/cronos/defi/darkcrypto-finance,https://github.com/darkcryptofi,darkcryptofi,defi,cronos
149,HunnySwap,https://dappradar.com/avalanche/defi/hunnyswap,https://github.com/hunnyfinance,hunnyfinance,defi,avalanche
150,MoonBeans,https://dappradar.com/multichain/marketplaces/moonbeans,https://github.com/moonbeans-org,moonbeans-org,marketplaces,multichain
151,Muuu Finance,https://dappradar.com/astar/defi/muuu-finance,https://github.com/muuu-finance,muuu-finance,defi,astar
152,Swapr,https://dappradar.com/ethereum/exchanges/swapr,https://github.com/levelkdev/dxswap-dapp,levelkdev,exchanges,ethereum
153,Nacho Finance,https://dappradar.com/polygon/defi/nacho-finance,https://github.com/0xalmanac/nacho-contracts,0xalmanac,defi,polygon
154,Wolfible,https://dappradar.com/multichain/collectibles/wolfible,https://github.com/wolfilandmetaverse,wolfilandmetaverse,collectibles,multichain
155,deBridge,https://dappradar.com/multichain/defi/debridge,https://github.com/debridge-finance/,debridge-finance,defi,multichain
156,Lizard,https://dappradar.com/oasis/exchanges/lizard,https://github.com/Lizard-Exchange/,Lizard-Exchange,exchanges,oasis
157,Mobius Money,https://dappradar.com/celo/defi/mobius-money,https://github.com/mobiusAMM,mobiusAMM,defi,celo
158,Stake DAO,https://dappradar.com/ethereum/defi/stake-dao,https://github.com/StakeDAO,StakeDAO,defi,ethereum
159,BerryClub,https://dappradar.com/near/defi/berryclub,https://github.com/evgenykuzyakov/berryclub,evgenykuzyakov,defi,near
160,HODL,https://dappradar.com/binance-smart-chain/defi/hodl,https://github.com/hodl-token/HODL,hodl-token,defi,binance-smart-chain
161,youves,https://dappradar.com/tezos/defi/youves,https://github.com/youves-com,youves-com,defi,tezos
